date,a,b,c,d,e,mb
9-15-17,18,24,34,38,58,3
9-19-17,9,28,31,50,61,10
9-22-17,5,39,54,63,66,15
9-26-17,1,10,57,66,75,4
9-29-17,25,51,62,73,74,7
10-3-17,12,18,19,25,67,7
10-6-17,21,33,36,45,56,12
10-10-17,7,16,24,61,62,2
10-13-17,2,7,18,26,31,12
10-17-17,31,45,49,56,70,11
10-20-17,6,23,63,66,73,9
10-24-17,20,24,34,56,64,6
10-27-17,17,27,41,51,52,13
10-31-17,6,28,31,52,53,12
11-3-17,10,22,42,61,69,3
11-7-17,1,54,60,68,69,11
11-10-17,6,23,38,42,58,24
11-14-17,1,14,21,22,28,19
11-17-17,3,26,55,58,70,15
11-21-17,3,7,22,27,50,3
11-24-17,16,36,54,61,64,22
11-28-17,10,17,47,51,61,5
12-1-17,16,22,40,41,59,8
12-5-17,14,15,37,42,67,22
12-8-17,6,37,46,60,70,24
12-12-17,8,23,24,25,27,9
12-15-17,4,12,36,44,57,19
12-19-17,28,37,39,42,58,2
12-22-17,1,20,30,33,42,16
12-26-17,10,12,20,38,41,25
12-29-17,4,10,18,28,62,7
1-2-18,1,42,47,64,70,22
1-5-18,28,30,39,59,70,10
1-9-18,16,29,31,65,67,23
1-12-18,17,18,33,46,60,24
1-16-18,3,11,23,29,59,18
1-19-18,3,17,23,49,66,23
1-23-18,2,6,30,31,55,7
1-26-18,10,16,27,38,43,1
1-30-18,29,41,42,49,57,24
2-2-18,1,4,14,17,40,4
2-6-18,14,17,25,48,58,25
2-9-18,28,34,41,46,47,14
2-13-18,5,12,15,46,49,1
2-16-18,14,38,48,53,58,16
2-20-18,17,19,23,24,43,14
2-23-18,7,11,13,19,58,9
2-27-18,10,17,21,38,43,23
3-2-18,24,28,42,60,64,8
3-6-18,1,4,26,35,39,22
3-9-18,7,17,18,46,66,22
3-13-18,6,30,58,60,61,17
3-16-18,1,13,26,33,52,11
3-20-18,14,38,51,64,70,9
3-23-18,4,8,23,53,59,17
3-27-18,7,25,43,56,59,13
3-30-18,11,28,31,46,59,1
4-3-18,4,29,39,42,62,14
4-6-18,16,33,51,54,67,20
4-10-18,5,13,31,43,53,20
4-13-18,8,9,32,42,59,10
4-17-18,12,34,44,47,65,22
4-20-18,1,15,18,32,45,4
4-24-18,3,19,31,32,48,10
4-27-18,2,29,38,63,66,11
5-1-18,2,7,20,55,70,1
5-4-18,4,5,10,12,18,21
5-8-18,8,15,39,64,67,13
5-11-18,14,38,40,53,70,22
5-15-18,21,34,44,49,61,21
5-18-18,9,26,53,64,66,11
5-22-18,16,17,21,36,48,9
5-25-18,11,14,51,64,68,25
5-29-18,2,11,55,58,67,2
6-1-18,5,24,52,62,66,17
6-5-18,22,33,41,48,52,4
6-8-18,14,30,33,44,56,13
6-12-18,1,3,5,8,70,3
6-15-18,1,11,37,47,51,6
6-19-18,11,13,28,65,70,14
6-22-18,2,6,11,27,44,20
6-26-18,17,25,29,39,60,19
6-29-18,2,32,47,49,68,23
7-3-18,13,35,45,49,68,23
7-6-18,2,10,46,50,56,16
7-10-18,1,17,28,56,70,14
7-13-18,21,22,39,59,68,2
7-17-18,40,41,61,66,67,12
7-20-18,1,14,30,44,62,1
7-24-18,1,2,4,19,29,20
7-27-18,1,32,40,49,63,20
7-31-18,12,15,35,64,69,9
8-3-18,9,28,30,54,60,2
8-7-18,2,13,15,21,62,2
8-10-18,1,3,12,22,42,6
8-14-18,11,26,44,45,46,11
8-17-18,1,31,32,47,56,3
8-21-18,14,16,19,38,57,11
8-24-18,1,6,13,18,49,8
8-28-18,3,20,33,34,41,20
8-31-18,7,18,29,32,45,17
9-4-18,2,7,25,35,44,3
9-7-18,8,10,41,54,68,10
9-11-18,15,30,51,62,67,19
9-14-18,23,30,40,43,66,13
9-18-18,31,32,43,63,68,17
9-21-18,1,2,11,52,64,9
9-25-18,8,16,32,48,61,12
9-28-18,39,45,52,56,59,15
10-2-18,2,22,29,31,34,1
10-5-18,27,28,32,41,69,12
10-9-18,20,22,39,54,60,18
10-12-18,4,24,46,61,70,7
10-16-18,3,45,49,61,69,9
10-19-18,15,23,53,65,70,7
10-23-18,5,28,62,65,70,5
10-26-18,1,28,61,62,63,5
10-30-18,20,31,39,46,49,23
11-2-18,3,23,28,46,62,16
11-6-18,28,34,37,56,69,12
11-9-18,8,14,27,57,67,5
11-13-18,34,46,57,65,69,11
11-16-18,33,36,63,68,69,16
11-20-18,10,16,31,42,66,10
11-23-18,7,10,30,33,59,23
11-27-18,12,24,37,42,57,18
11-30-18,25,28,40,43,63,19
12-4-18,28,31,41,42,50,4
12-7-18,4,10,20,33,57,13
12-11-18,4,38,39,54,59,12
12-14-18,5,22,26,43,49,23
12-18-18,13,22,32,60,69,9
12-21-18,10,13,61,62,70,5
12-25-18,2,8,42,43,50,6
12-28-18,9,10,25,37,38,21
1-1-19,34,44,57,62,70,14
1-4-19,21,29,35,54,60,15
1-8-19,13,26,29,38,64,5
1-11-19,4,5,31,62,69,20
1-15-19,29,52,58,60,62,7
1-18-19,2,43,48,62,64,24
1-22-19,4,15,37,59,64,16
1-25-19,8,16,30,38,61,10
1-29-19,10,33,53,54,62,22
2-1-19,2,37,48,66,68,11
2-5-19,3,34,36,59,66,7
2-8-19,14,24,31,42,48,13
2-12-19,15,32,39,50,65,7
2-15-19,10,38,40,43,65,12
2-19-19,17,24,34,56,65,3
2-22-19,18,24,31,34,55,4
2-26-19,10,12,14,24,60,20
3-1-19,29,33,39,60,66,21
3-5-19,15,20,32,37,52,6
3-8-19,4,9,42,62,68,7
3-12-19,10,12,16,49,57,18
3-15-19,3,29,56,62,64,4
3-19-19,10,42,53,67,68,15
3-22-19,7,36,58,60,62,10
3-26-19,4,14,22,43,58,9
3-29-19,5,14,15,62,66,3
4-2-19,33,47,58,59,64,25
4-5-19,8,22,24,38,64,21
4-9-19,11,22,34,44,58,9
4-12-19,1,24,25,40,70,4
